Q1,Q5_1,Q5_2,Q5_3,Q5_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q7,Q7_1,Q7_2,Q7_3,Q7_4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q14
1,10.015,189.305,191.15,17,6,5,4,6,7,7,5,6,4,3,5,4,7,5,7,1,4.477,44.585,45.899,19,2,5,3,7,5,1,3,5,3,7,1,6,4,4,2,3,41.412,45.835,46.919,2,6,4,2,4,3,4,5,2,3,1,6,2,1,2,2,2
1,9.618,82.673,86.686,18,6,5,4,7,6,5,5,6,6,7,6,7,7,7,7,1,4.458,21.527,23.673,15,6,4,3,2,2,1,5,2,5,7,6,4,3,1,3,3,0,0,49.375,0,6,4,7,5,3,2,5,1,1,1,7,3,3,2,2,2
1,5.818,97.088,98.457,27,7,7,6,7,3,7,6,6,7,7,7,6,4,6,7,1,6.977,54.475,55.832,19,7,5,5,2,2,4,5,2,4,1,5,1,6,1,1,3,2.238,112.24,113.609,24,7,7,7,7,4,7,7,6,6,7,7,6,4,7,7,2
1,11.343,70.032,70.073,40,6,5,6,6,6,6,5,5,5,6,6,7,6,6,7,1,3.444,16.063,26.077,39,3,4,3,6,3,5,4,2,4,6,4,5,6,6,4,3,0,0,19.868,0,2,1,1,6,5,1,6,7,6,4,1,1,1,7,5,2
1,12.082,57.944,58.897,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,5.876,23.221,24.579,15,6,6,5,6,7,4,5,6,6,6,4,4,5,4,5,3,108.151,108.151,112.525,1,2,6,7,3,3,1,5,6,2,5,7,5,6,1,6,2
1,18.5,101.712,103.447,25,7,6,6,6,6,7,6,6,7,6,6,7,7,7,7,1,6.091,28.382,31.503,17,2,6,5,6,3,5,4,5,4,1,2,7,3,4,4,3,66.015,66.015,67.586,1,2,7,6,1,2,5,2,4,1,5,3,2,6,6,4,2
1,8.848,58.365,61.909,20,7,5,7,7,4,7,6,7,6,6,7,7,7,6,7,1,6.624,14.795,24.288,14,3,3,5,3,2,5,4,4,4,5,7,3,2,4,6,3,9.169,9.169,26.21,1,4,1,6,3,1,5,5,6,6,4,2,7,7,3,6,2
1,8.604,78.549,80.104,16,4,5,7,6,4,5,7,5,5,6,4,6,6,5,7,1,4.036,44.63,46.376,16,3,4,2,5,3,6,4,5,7,7,1,3,6,1,2,3,0,0,45.433,0,5,5,2,4,2,7,7,2,3,5,5,3,3,4,4,2
1,11.369,78.743,79.959,18,5,7,6,5,6,3,5,4,3,5,4,6,6,5,7,1,6.676,20.643,26.88,15,3,2,5,2,4,3,3,4,7,3,4,5,2,6,4,3,39.824,39.824,44.871,1,4,7,7,6,1,5,1,5,4,6,1,2,6,1,6,2
1,6.479,60.031,61.207,16,6,6,5,6,5,6,6,5,6,5,6,6,7,6,7,1,2.637,22.299,23.139,15,4,3,4,5,6,3,3,3,5,7,6,2,5,4,5,3,0,0,47.57,0,3,3,6,1,5,1,4,1,6,5,1,7,2,6,4,2
