Q1,Q4_1,Q4_2,Q4_3,Q4_4,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15
1,7.139,18.307,22.976,16,5,6,2,4,3,3,4,6,4,5,3,5,4,4,7
1,4.617,47.717,48.544,18,5,6,4,6,6,6,6,6,7,4,5,5,7,7,7
1,1.324,105.21,106.314,18,7,6,7,7,6,7,7,6,7,6,7,6,7,7,7
1,6.543,44.875,46.364,17,7,7,4,3,7,7,7,5,7,7,7,5,7,7,7
1,5.817,176.115,176.802,22,6,7,7,6,7,7,6,6,6,7,7,7,7,7,7
1,2.644,42.09,43.041,25,4,4,3,3,4,4,5,4,5,2,5,6,3,2,7
1,5.626,25.244,26.27,15,6,6,6,5,6,6,6,7,6,6,6,6,5,6,7
1,2.906,78.072,87.728,15,6,5,5,5,6,6,6,5,5,5,5,6,6,6,7
1,9.131,48.341,49.188,16,6,5,7,6,5,7,6,6,6,6,5,7,6,6,7
1,2.898,32.472,33.195,16,5,2,5,1,3,3,3,3,3,5,3,4,1,3,7
1,1244.354,1279.021,1279.734,15,6,6,6,6,4,3,6,2,4,5,3,5,2,6,7
1,3.05,37.432,38.321,15,6,4,4,4,5,3,6,5,5,6,3,6,3,5,7
1,5.23,58.115,59.083,15,6,6,6,5,5,6,6,5,6,7,6,7,6,4,7
1,26.207,81.692,83.785,17,5,6,5,4,5,6,6,5,4,5,5,7,5,5,7
1,2.881,17.676,18.296,20,7,5,6,7,7,6,6,7,6,5,6,5,5,5,7
1,4.23,4.23,4.237,1,,,,,,,,,,,,,,,
1,1.662,14.031,19.895,18,5,4,6,5,4,6,6,6,6,4,5,7,5,5,6
1,5.044,34.987,35.617,20,7,5,4,6,6,7,7,6,5,5,5,4,5,6,7
1,4.829,39.267,39.94,15,4,5,5,5,5,4,6,6,5,5,4,5,5,4,7
1,9.957,31.423,32.858,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,9.011,119.088,120.698,49,5,6,6,6,6,6,5,5,6,6,6,6,6,6,7
1,3.344,30.983,31.489,40,6,7,2,2,7,7,6,4,4,2,6,7,7,5,7
1,3.189,76.883,78.525,15,6,4,6,6,3,5,5,5,5,6,6,6,7,5,7
1,2.222,16.389,17.305,26,5,4,5,5,4,3,4,5,3,3,5,4,5,5,7
1,9.225,82.037,82.9,18,7,7,4,7,7,7,4,7,7,6,7,4,7,6,7
1,4.086,26.59,27.406,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,6.467,27.506,28.062,19,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
1,4.833,51.726,52.293,16,5,1,5,6,1,1,5,5,7,1,6,4,1,4,7
1,200.305,214.208,214.62,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,20.815,96.623,96.898,23,5,5,5,1,2,3,5,1,4,5,3,4,2,5,7
1,9.993,21.544,22.473,25,4,4,4,4,3,4,4,6,3,5,4,5,4,4,7
1,10.763,57.735,59.61,17,6,6,6,7,6,6,7,6,6,6,6,7,6,6,7
1,3.176,23.058,24.094,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,2.341,20.196,25.098,18,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
1,11.139,37.91,39.999,17,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7
1,20.745,60.067,61.075,16,7,5,7,6,7,7,7,4,6,7,7,7,7,6,7
1,3.853,15.219,20.361,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,19.981,70.931,74.125,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,13.043,29.816,31.187,20,4,5,4,4,5,5,4,4,4,5,4,4,4,4,7
1,3.943,63.449,63.71,71,6,7,6,5,6,6,6,6,7,6,5,6,5,6,7
1,10.802,122.46,136.244,16,6,6,6,6,5,6,6,6,6,6,6,6,6,6,7
1,1.533,232.324,243.91,23,6,6,6,6,5,6,5,6,6,5,2,6,6,6,7
1,5.207,42.416,43.155,15,6,4,4,5,5,6,6,5,5,5,4,6,5,6,7
1,5.965,24.504,26.108,17,6,7,6,7,6,6,6,5,6,6,6,6,6,6,7
1,2.957,9.02,10.314,28,5,2,5,3,6,3,2,3,3,3,2,6,4,2,7
1,1.373,64.482,66.511,50,5,4,3,5,6,5,5,5,1,5,5,6,1,5,7
1,1.639,12.492,12.958,46,5,3,5,3,4,5,3,5,4,6,5,6,4,4,7
1,11.142,18.498,28.765,16,6,6,7,6,6,7,6,6,6,6,7,7,6,7,6
1,5.433,30.529,31.536,18,5,5,3,3,5,5,5,7,5,6,4,6,4,6,7
1,6.936,46.992,48.206,18,6,7,5,6,5,6,5,6,6,6,5,4,4,6,7
1,4.236,38.26,38.89,16,5,5,3,4,2,4,3,4,5,5,3,2,5,3,7
1,51.454,131.564,134.586,19,6,6,6,7,6,6,6,6,7,7,4,5,6,7,7
1,4.952,42.533,43.334,17,6,5,6,6,3,3,6,3,7,7,6,2,7,6,7
1,6.471,44.389,46.386,16,5,6,5,5,5,6,6,5,6,7,4,6,7,6,7
1,3.455,126.878,127.71,91,7,7,7,4,7,7,7,7,6,7,7,7,7,7,7
1,7.543,475.126,476.11,24,2,1,1,3,3,1,2,3,2,2,1,3,4,2,7
1,4.735,25.81,27.079,16,5,5,6,6,6,6,6,5,6,7,6,6,5,7,7
1,4.091,23.83,24.366,18,5,7,6,6,7,7,6,7,7,7,6,7,6,6,7
1,34.572,84.976,86.754,15,7,6,5,6,7,5,6,6,7,6,6,6,7,6,7
1,18.811,61.445,62.559,15,6,5,5,5,3,5,6,3,7,5,2,5,3,6,7
1,4.454,18.2,21.291,17,4,5,5,5,4,4,3,3,4,6,3,5,5,4,4
1,2.947,38.847,39.246,18,6,5,7,6,5,6,7,6,6,7,6,7,3,7,7
1,4.124,41.947,44.242,18,6,6,6,6,6,7,6,6,6,5,6,5,6,6,7
1,10.73,51.411,52.3,16,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7
1,9.793,82.815,84.071,15,4,5,4,5,5,6,5,3,6,4,3,4,4,4,7
1,6.066,24.954,26.822,36,5,3,7,3,3,4,4,4,3,6,3,4,5,4,7
1,3.063,51.141,52.691,16,6,5,6,5,7,7,7,5,6,5,6,6,7,6,7
1,2.953,14.177,15.161,16,5,4,4,6,4,7,5,5,6,3,6,7,3,6,7
1,3.867,15.891,16.904,15,5,5,4,5,5,4,5,5,4,6,6,5,5,4,7
1,4.694,35.099,37.536,17,5,3,4,4,4,4,4,4,4,5,4,5,5,5,7
1,14.022,86.739,87.242,16,7,7,6,6,7,7,7,7,6,7,6,7,7,6,7
1,3.129,33.802,34.675,17,7,7,7,7,6,7,7,6,7,7,7,7,7,6,7
1,10.201,59.626,61.654,15,5,4,4,4,4,6,5,4,5,5,4,5,3,5,7
1,2.312,50.326,51.335,16,4,4,3,4,3,4,6,4,3,6,4,4,4,5,7
1,2.196,22.792,23.415,17,5,5,5,5,6,6,5,5,6,6,5,5,6,5,7
1,5.404,83.847,84.349,17,6,4,5,5,4,5,5,6,5,6,4,4,4,5,7
1,5.78,44.564,45.682,19,6,1,6,1,6,1,5,2,4,6,1,6,1,5,7
1,5.383,37.688,38.364,15,5,3,4,6,3,5,5,5,6,6,5,5,4,5,7
1,7.269,52.348,53.082,15,7,6,6,6,6,7,4,6,6,6,1,6,7,7,7
1,32.567,76.115,77.689,16,6,3,5,6,5,4,5,4,5,6,5,6,4,6,7
1,3.642,672.714,672.968,19,6,6,6,4,6,7,6,5,7,7,4,5,6,6,7
1,2.913,40.88,41.372,60,6,7,7,6,7,7,6,7,5,6,7,7,5,7,7
1,2.454,55.657,56.224,30,5,6,6,6,6,5,5,4,7,2,5,7,4,6,7
1,2.469,19.48,20.393,43,6,6,6,6,6,6,6,6,6,5,6,5,6,6,7
1,12.203,62.302,63.642,20,7,6,4,7,7,7,7,7,7,7,7,7,7,6,7
1,9.994,71.771,73.734,19,7,6,7,7,3,5,7,3,4,7,7,6,7,6,7
1,3.804,31.276,31.857,16,5,4,5,5,3,6,3,5,4,5,4,5,7,5,7
1,4.522,21.51,22.389,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7
1,8.807,65.998,67.597,15,5,5,4,5,4,5,5,5,6,7,4,6,5,5,7
1,3.153,60.136,60.69,84,7,6,4,4,5,7,6,2,5,5,4,5,6,6,7
1,4.524,52.247,57.388,17,5,5,5,5,7,7,2,5,4,6,5,3,5,4,7
1,4.026,35.392,36.006,20,6,6,6,4,5,6,6,5,6,5,6,7,7,6,7
1,63.215,81.156,82.16,15,7,7,6,7,7,6,7,7,7,7,6,7,7,6,7
1,7.465,36.616,37.6,17,6,5,5,3,5,6,5,5,5,3,3,5,4,4,7
1,3.542,37.025,38.659,39,6,6,5,6,6,6,6,6,5,7,6,7,6,5,7
1,3.13,26.25,26.955,15,7,5,6,4,6,6,6,3,6,7,6,3,6,5,7
1,4.241,44.537,46.563,17,6,5,6,6,4,6,6,5,6,5,4,5,5,6,7
1,19.871,80.021,80.797,18,7,6,6,7,7,7,6,6,7,7,7,4,7,7,7
1,6.65,45.362,45.948,15,7,5,4,4,5,6,7,5,5,4,5,6,6,6,7
1,0,0,42.537,0,6,6,5,7,6,6,6,6,6,5,6,5,6,6,7
1,6.254,17.009,36.629,2,4,4,5,7,6,4,6,3,6,5,4,4,3,5,4
1,1.945,25.099,25.662,16,5,6,6,4,5,6,5,4,5,6,6,7,6,5,7
1,3.367,15.048,16.35,18,5,5,5,5,6,5,5,4,5,6,4,5,4,4,6
1,5.664,26.728,28.299,17,7,6,5,6,6,6,6,6,6,6,5,6,7,6,7
1,6.344,114.984,115.532,16,5,6,3,5,3,5,5,6,5,3,4,6,6,5,7
1,6.226,58.975,59.821,26,6,4,6,6,4,5,5,5,6,5,5,4,5,6,7
1,1.057,50.585,52.161,16,5,6,6,6,6,6,5,6,6,7,5,6,6,6,7
1,5.058,47.792,49.151,15,6,4,3,3,6,7,6,6,7,3,5,7,7,6,7
1,1.321,7.885,8.832,2,3,2,2,2,4,2,2,3,2,7,2,3,2,3,7
1,14.806,71.497,73.397,18,7,6,3,5,5,6,6,5,6,6,6,7,6,6,7
1,1.075,13.812,18.331,38,3,3,6,6,5,6,6,5,5,5,4,1,4,4,3
1,7.361,37.924,38.805,15,5,3,6,2,5,6,6,4,5,6,4,6,3,6,7
1,9.625,39.329,40.511,16,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7
1,304.165,324.612,429.791,16,7,7,5,7,6,7,7,6,7,7,5,5,7,7,7
1,12.168,71.413,73.804,17,5,4,7,5,4,6,5,6,5,5,6,6,6,5,7
1,5.821,29.018,29.669,20,6,5,6,6,6,6,6,6,6,6,6,6,6,6,7
1,61.379,80.875,81.522,16,6,6,4,3,6,7,5,6,7,4,4,7,7,6,7
1,7.185,40.505,43.342,16,6,6,6,7,6,7,7,6,7,6,5,6,7,6,7
1,7.899,85.149,87.367,22,5,2,2,1,2,6,6,3,5,6,4,3,2,5,7
1,6.899,41.622,41.674,52,4,6,2,1,1,5,2,5,6,4,2,2,6,4,7
1,1.665,19.792,20.742,15,5,4,4,4,5,5,5,6,4,6,4,5,7,5,7
1,5.967,47.453,50.446,16,5,4,5,5,5,4,6,5,4,6,5,5,6,6,7
1,10.365,27.024,28.458,17,5,7,7,5,7,7,6,6,6,6,6,7,6,6,7
,29.63,76.022,76.722,15,5,6,5,5,5,5,5,5,5,6,4,5,6,5,7
1,10.291,55.102,56.629,16,6,7,7,6,6,7,6,5,6,6,6,6,6,6,7
1,5.169,52.659,53.804,15,6,5,5,4,5,5,5,5,5,5,5,5,5,5,7
1,9.217,60.034,60.391,23,7,6,7,7,7,6,6,5,6,7,6,6,6,7,7
1,24.869,102.542,103.808,35,6,5,2,7,5,7,7,5,6,7,5,4,5,5,7
1,4.661,36.937,37.893,15,6,6,6,6,4,6,6,5,7,6,6,6,6,6,7
1,8.093,51.353,52.129,19,4,5,5,6,5,5,3,4,3,6,3,6,4,4,7
1,7.246,47.185,48.274,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,4.143,19.089,22.886,17,3,4,5,4,3,4,4,5,7,4,3,5,5,4,7
1,6.514,27.314,28.146,19,6,5,5,6,6,5,6,6,6,7,5,6,6,6,7
1,3.133,49.39,50.274,16,2,1,1,3,2,7,1,6,2,3,1,5,1,1,7
1,12.54,83.203,84.098,16,6,5,6,7,3,6,5,5,5,7,5,4,7,6,7
1,2.583,50.104,50.726,81,7,6,5,7,3,4,7,4,4,7,7,4,7,5,7
1,8.725,46.003,47.052,17,6,6,6,5,5,6,6,5,6,6,6,5,6,6,7
1,4.549,52.484,54.202,16,5,5,6,5,4,6,4,5,5,6,6,6,6,6,7
1,2.589,45.5,48.712,15,7,6,6,5,7,7,6,7,6,5,5,6,7,7,7
1,2.818,18.79,19.192,15,6,6,6,5,6,5,6,4,5,3,5,5,5,6,7
1,5.907,56.131,57.9,15,5,4,5,4,3,5,5,5,5,5,4,5,5,5,7
1,4.415,55.054,55.443,21,5,5,3,4,3,5,5,2,4,4,4,2,3,6,7
1,3.769,117.783,118.529,16,6,6,3,5,3,6,6,7,5,5,5,6,6,5,7
1,2.906,22.717,24.674,16,5,6,6,7,6,7,6,7,6,5,5,4,7,6,7
1,2.217,40.089,41.354,46,5,2,3,3,2,2,5,1,3,5,4,4,4,3,7
1,1.607,60.479,61.093,34,6,5,5,6,6,6,6,5,5,6,4,5,6,6,7
1,8.056,51.435,52.461,17,6,6,6,6,5,5,5,6,5,6,5,6,6,6,7
1,16.266,44.874,45.916,16,5,5,5,6,5,6,5,5,6,7,6,6,6,6,7
1,13.227,21.519,25.396,16,6,4,5,5,5,6,4,5,5,5,5,6,4,4,7
1,23.962,112.374,113.617,31,5,5,6,3,5,4,5,3,5,4,5,4,4,3,5
1,24.8,93.066,93.831,16,5,4,5,6,4,5,6,4,5,4,6,5,6,5,4
1,2.957,24.783,25.441,18,7,5,7,6,6,6,6,6,6,5,6,6,5,6,7
1,3.197,28.57,29.845,16,6,6,6,4,6,6,6,6,6,6,6,6,6,6,7
1,5.58,44.6,47.195,17,7,3,5,2,2,4,6,6,5,5,2,1,1,5,7
1,11.809,256.919,257.936,23,5,2,4,2,3,3,4,4,4,3,2,1,2,5,7
1,4.91,24.235,24.706,15,6,7,5,7,6,6,6,5,7,6,6,5,6,6,7
1,11.023,53.372,55.032,15,4,1,2,1,2,2,4,2,1,6,3,5,1,2,7
