Q1,Q4_1,Q4_2,Q4_3,Q4_4,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15
1,2.285,9.533,11.322,17,5,4,4,4,4,4,4,5,4,4,5,4,5,3,4
1,6.33,40.66,41.261,16,5,6,5,6,5,6,6,5,5,5,6,5,6,6,7
1,2.249,15.248,16.837,16,6,7,7,7,7,7,6,7,7,6,7,6,7,7,7
1,5.178,41.404,43.001,16,5,6,6,7,3,7,6,6,7,5,6,6,7,5,7
1,0,0,7.926,0,1,6,6,7,1,4,4,1,5,3,7,1,6,4,6
1,3.205,15.878,16.838,15,4,6,6,5,5,5,6,5,5,6,6,6,5,6,5
1,12.897,77.838,79.845,21,7,5,4,4,5,5,5,5,7,3,7,6,7,6,7
1,1.588,10.133,10.963,16,6,4,6,5,6,6,7,4,3,4,5,7,5,3,5
1,9.648,53.413,54.382,15,5,5,5,5,6,5,5,3,3,7,3,6,5,5,7
1,1.622,30.265,31.181,17,4,3,4,6,3,5,5,6,5,6,4,5,4,5,7
1,24.093,76.849,77.926,18,5,4,3,5,5,6,6,6,6,2,5,5,3,3,7
1,1.067,7.874,15.747,14,1,7,7,7,1,2,4,2,7,6,1,2,2,3,7
1,6.36,36.036,39.732,16,7,5,6,5,6,7,7,6,6,7,6,5,7,4,7
1,21.976,68.52,73.291,16,6,6,6,5,6,6,5,6,6,6,6,6,5,6,7
1,0,0,12.951,0,3,3,7,1,2,4,7,6,2,7,5,7,1,2,7
1,6.171,21.329,22.47,21,6,5,5,5,5,6,7,6,6,6,5,6,6,6,6
1,1.982,14.792,15.633,16,4,6,6,3,5,3,4,5,3,5,4,4,3,5,7
1,7.788,58.204,59.358,17,5,5,6,6,4,6,6,6,5,5,5,4,5,5,7
1,6.201,74.463,76.344,40,6,6,6,6,6,7,6,6,6,6,6,6,6,6,7
1,5.399,59.189,60.609,15,6,5,5,5,5,5,7,4,5,6,4,6,5,6,7
1,4.785,30.706,33.069,25,5,5,6,6,6,7,5,5,5,6,6,5,5,5,7
1,2.26,41.764,43.384,41,5,5,5,5,5,7,5,7,6,3,1,6,2,5,7
1,134.199,144.565,145.108,21,4,4,4,4,4,4,3,4,4,4,4,4,4,4,7
1,14.283,36.349,37.775,51,3,4,3,5,5,4,5,4,5,4,4,4,5,4,3
1,1.423,10.871,11.707,15,2,3,3,6,3,3,5,4,4,2,5,3,4,5,4
1,10.707,58.03,59.436,20,5,6,5,4,4,6,6,7,5,5,5,4,5,5,7
1,9.805,48.916,50.564,15,6,4,2,7,3,7,4,6,5,2,4,3,1,6,7
1,2.276,29.927,30.77,17,7,7,5,7,6,7,6,6,7,6,7,7,6,7,7
1,2.198,30.775,31.606,36,6,4,6,5,5,4,6,3,5,5,4,6,4,6,7
1,6.511,34.019,34.861,16,5,6,6,6,7,6,7,6,6,6,6,7,7,7,7
1,3.427,11.315,12.219,15,5,4,4,5,5,5,4,4,5,5,5,3,5,3,7
1,2.669,20.392,22.176,16,6,7,7,7,6,7,6,7,7,7,7,7,6,7,7
1,2.22,29.339,30.101,15,6,7,6,6,6,7,6,6,6,6,6,6,5,7,7
1,5.741,39.423,39.427,14,3,5,,4,5,4,3,4,3,,3,3,4,4,3
1,1.574,93.01,93.713,20,7,6,5,5,6,7,6,6,6,6,6,7,7,6,7
1,0,0,32.446,0,4,1,2,4,1,2,2,2,5,6,1,1,1,2,7
1,10.873,44.021,47.717,16,6,5,5,6,5,5,6,5,6,6,5,5,5,6,7
1,33.977,68.409,69.337,21,6,5,5,5,6,6,6,7,6,7,5,6,7,5,7
1,4.418,19.242,21.878,15,7,6,7,7,7,7,6,7,6,5,7,6,6,7,7
1,11.328,38.8,39.614,17,4,3,3,3,4,4,4,5,4,4,2,3,4,3,7
1,0,0,11.488,0,4,3,4,6,4,4,3,5,3,4,4,4,3,3,4
1,9.709,43.773,44.241,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,4.203,33.626,33.967,16,7,6,6,7,6,7,6,6,6,7,7,7,7,6,7
1,1.47,12.498,15.09,18,6,2,4,5,2,6,5,3,4,3,6,3,4,5,7
1,10.332,65.571,66.234,15,7,6,6,6,5,5,6,4,5,7,4,7,7,5,7
1,81.853,157.759,162.972,5,4,4,3,5,4,4,4,4,5,4,3,3,5,4,7
1,353.672,383.008,383.911,15,6,6,4,6,5,6,5,6,6,6,5,5,6,5,7
1,6.684,79.837,82.646,19,5,4,5,4,4,5,5,6,5,4,5,5,5,5,7
1,5.398,44.174,48.895,16,7,7,6,7,6,6,7,6,7,6,6,7,6,7,7
1,27.775,27.775,28.387,1,4,2,1,3,3,1,6,1,1,2,1,7,1,4,7
1,2.023,40.493,41.449,51,5,5,6,6,4,6,7,4,6,5,5,6,6,4,7
1,0.704,8.595,9.207,42,3,4,4,4,3,5,4,4,5,4,4,4,5,4,4
1,4.011,58.701,59.658,16,6,6,6,6,7,7,6,5,5,6,4,6,6,6,7
1,5.083,66.266,67.552,15,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7
1,4.815,38.51,39.514,15,7,5,6,7,6,7,7,6,7,7,6,6,6,6,7
1,2.35,11.59,63.579,18,3,6,5,3,3,4,4,4,5,4,5,4,3,5,7
1,7.646,56.39,61.027,15,7,5,5,6,4,6,6,4,6,5,6,5,6,6,7
1,5.461,33.159,34.346,16,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7
1,3.13,45.464,45.875,48,7,7,5,7,7,7,7,7,7,7,6,7,7,6,7
1,64.812,101.143,102.055,17,6,5,6,6,6,6,4,6,3,6,5,6,6,5,7
1,1.326,31.223,32.568,24,6,5,4,4,5,6,6,6,6,6,5,6,6,6,7
1,5.289,29.384,30.258,15,6,5,6,6,6,6,6,6,6,6,6,6,6,6,7
1,1.383,6.88,7.728,15,5,5,5,5,4,3,5,3,3,3,6,5,3,4,3
1,6.177,49.147,50.402,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
1,7.254,53.722,54.463,35,6,4,6,6,6,5,5,5,6,7,5,6,6,6,7
1,4.768,13.328,15.687,16,5,5,5,6,4,5,6,6,4,4,6,5,6,5,7
1,1.504,18.091,19.363,15,5,6,5,4,4,5,5,5,6,5,4,4,5,4,7
1,6.688,20.834,23.048,20,6,6,6,6,6,6,5,6,6,6,6,6,6,6,7
1,3.824,37.788,38.52,15,6,4,5,4,6,6,5,6,4,5,3,5,2,5,7
1,22.21,38.842,40.189,36,5,4,5,5,4,5,4,3,5,4,4,4,5,4,7
1,5.373,35.082,35.792,18,6,6,6,5,6,7,6,7,6,6,6,6,6,6,7
1,2.817,13.066,13.87,15,5,5,4,5,5,5,4,4,4,5,4,4,5,4,5
1,3.675,34.521,35.295,55,7,5,6,4,6,7,6,5,6,7,6,6,6,6,7
1,7.016,51.464,52.127,15,6,6,6,6,7,7,6,4,5,7,6,4,7,5,7
1,4.047,19.271,26.54,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,27.922,53.841,54.144,19,6,5,3,7,3,4,4,3,6,4,4,4,5,4,7
1,10.251,53.402,58.867,17,7,7,7,6,6,7,7,7,7,6,6,7,7,7,7
1,6.329,69.992,71.058,20,6,6,5,7,6,7,4,7,6,4,6,6,7,6,7
1,1.325,18.862,21.852,21,4,4,4,4,3,5,4,5,4,4,4,5,4,4,7
1,11.886,77.812,79.791,16,5,4,4,5,3,6,5,6,5,5,7,7,3,5,7
1,9.696,59.067,59.89,15,6,7,6,6,6,7,7,6,5,7,7,7,7,6,7
1,2.518,19.336,19.924,17,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7
1,1.238,15.438,41.136,39,5,5,6,5,6,7,6,7,6,6,6,6,6,6,7
1,2.246,38.673,44.12,30,6,7,4,7,5,6,5,6,4,5,6,5,7,5,7
1,9.409,52.277,52.953,16,4,5,2,6,2,6,2,3,6,5,4,3,3,4,7
1,9.535,50.111,55.239,15,6,5,5,5,6,5,6,3,5,7,5,6,4,6,7
1,5.256,64.176,65.325,17,4,2,5,2,5,3,5,2,5,5,3,3,2,4,7
1,4.257,44.62,45.998,18,7,6,6,5,6,6,6,6,6,6,6,6,6,6,7
1,42.535,49.607,50.822,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,11.034,66.91,67.96,15,7,6,6,7,4,7,7,6,6,6,7,6,6,7,7
1,0.753,7.261,8.076,28,6,5,6,5,4,3,6,5,5,3,6,5,4,4,4
1,10.641,54.437,54.45,35,6,7,7,7,7,7,6,7,7,6,7,7,7,7,7
1,4.383,43.058,43.67,77,6,6,6,6,6,6,3,7,6,6,6,6,6,6,7
1,3.004,32.5,32.998,18,1,1,1,1,1,6,1,6,1,1,1,4,1,1,7
1,3.168,14.389,21.837,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
1,4.864,63.156,66.23,19,6,7,6,6,6,7,7,7,6,6,6,6,6,6,7
1,7.361,23.818,24.515,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,0.278,65.113,65.693,55,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7
1,2.659,47.715,48.62,15,4,4,2,3,4,4,4,6,5,5,4,6,2,4,7
1,2.441,26.902,27.876,16,4,5,6,5,5,5,4,5,5,4,5,5,5,4,7
1,4.528,28.892,29.786,15,7,7,6,6,6,6,7,7,7,6,7,6,7,6,7
1,4.63,50.86,52.295,15,7,7,5,5,6,6,6,6,6,5,5,7,6,6,7
1,2.89,32.598,33.692,19,5,6,6,5,5,6,6,6,5,6,5,7,7,6,7
1,2.852,42.452,43.397,27,6,5,7,4,7,6,7,7,5,4,6,4,6,6,7
1,3.27,30.69,31.311,17,6,6,6,6,5,5,6,5,6,6,6,7,7,6,7
1,16.564,20.413,23.443,5,1,7,5,1,6,1,3,2,4,1,1,1,1,1,7
1,3.88,56.53,57.438,18,6,5,6,7,3,7,6,4,7,7,4,7,5,1,7
1,3.963,65.968,67.498,18,6,5,6,6,6,6,6,6,3,7,6,6,7,7,7
1,6.21,42.115,43.587,15,5,6,5,7,5,6,6,6,7,5,6,5,6,5,7
1,0,0,51.412,0,6,4,5,7,5,5,4,6,5,6,6,5,7,5,7
1,3.42,18.051,20.24,19,7,7,4,7,4,7,7,7,7,7,7,7,7,7,7
1,4.136,26.995,27.68,17,6,6,7,6,7,7,7,7,6,7,2,7,2,6,7
1,3.865,21.376,23.41,17,7,6,5,5,6,6,7,5,6,5,7,6,6,7,7
1,8.876,39.242,40.459,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
1,13.114,44.687,45.238,16,7,6,7,6,5,6,7,5,6,7,7,7,7,7,7
1,7.396,27.55,28.584,17,7,6,6,5,7,7,6,6,7,6,5,6,5,5,6
1,7.696,42.873,43.466,18,6,6,6,6,6,6,6,5,6,6,6,5,6,6,7
1,3.52,15.316,16.121,17,5,4,3,3,4,3,4,5,4,5,5,4,3,5,7
1,4.584,35.208,36.538,20,6,5,6,4,3,4,4,4,4,4,5,7,6,5,7
1,1.975,36.748,37.696,22,6,6,5,4,5,6,6,7,5,5,5,5,5,6,7
1,1.695,186.95,188.525,21,5,6,5,6,5,5,3,6,6,6,5,3,4,5,7
1,16.04,70.996,100.379,16,6,6,6,5,6,6,6,6,4,4,6,5,6,5,7
1,11.227,70.273,71.502,18,6,2,6,2,6,5,5,6,4,5,2,1,1,4,7
1,3.195,13.533,16.314,34,5,2,2,3,4,2,5,5,2,5,4,6,6,2,7
1,3.838,28.758,29.396,15,5,5,4,4,4,7,3,7,4,3,6,3,6,5,7
1,3.056,40.688,42.475,16,6,5,6,5,6,5,6,5,6,6,6,6,5,6,7
1,13.823,50.046,51.428,15,6,5,5,6,6,5,5,5,6,6,5,5,6,5,7
1,25.593,114.664,115.516,15,6,7,5,7,6,6,7,3,6,4,5,6,6,6,7
1,8.963,49.027,50.023,15,5,5,4,6,3,5,5,6,3,4,5,6,6,4,7
1,3.399,24.396,25.034,15,6,6,6,4,6,6,6,6,6,6,6,4,6,6,7
1,10.802,65.393,66.068,18,4,2,5,3,2,2,5,1,4,7,2,3,1,3,7
1,3.271,42.952,45.055,17,7,6,6,5,5,5,7,6,7,6,5,7,7,6,7
1,14.446,49.099,50.078,19,5,3,4,3,5,6,6,5,5,5,3,4,2,5,7
1,3.088,54.072,55.267,17,6,1,5,4,3,4,4,6,4,7,4,4,4,5,7
1,8.31,66.665,67.322,15,5,5,4,5,6,6,6,6,3,2,4,5,4,7,7
1,32.565,65.332,66.31,15,5,5,5,5,5,5,5,5,5,4,5,5,5,5,7
1,14.743,72.516,80.853,22,7,5,7,6,7,6,6,6,7,7,7,7,7,7,7
1,24.425,73.787,75.494,17,4,5,5,5,5,6,5,6,6,5,6,6,7,5,7
1,8.188,52.997,53.548,15,7,7,6,7,6,7,7,7,7,6,7,6,7,7,7
1,6.862,50.086,51.134,17,6,5,5,6,6,5,5,5,5,6,6,6,6,6,7
1,16.798,45.855,46.515,16,6,5,6,6,5,6,5,7,6,7,4,6,7,6,7
1,2.633,15.759,16.739,15,6,5,5,5,5,5,5,5,5,5,5,4,5,4,7
1,2.882,45.312,45.816,38,6,2,3,5,1,4,6,6,3,4,5,5,1,6,7
